influencer_id,name,category,gender,follower_count,platform,persona
HKI-1001,Dr. Shawn Davis,Lifestyle,Male,2010183,Instagram,Macro-Lifestyle
HKI-1002,Joanna Nguyen,Wellness,Female,4577131,YouTube,Macro-Wellness
HKI-1003,Daniel Lewis,Lifestyle,Female,1142438,YouTube,Macro-Lifestyle
HKI-1004,Geoffrey Wilson,Fitness,Female,8250015,YouTube,Macro-Fitness
HKI-1005,Connie Nelson,Lifestyle,Male,6012265,Instagram,Macro-Lifestyle
HKI-1006,Jacob Martin,Lifestyle,Female,2017061,Instagram,Macro-Lifestyle
HKI-1007,Amanda Valencia,Fitness,Female,714288,Twitter,Macro-Fitness
HKI-1008,Darlene Shepard,Wellness,Male,17840676,Instagram,Macro-Wellness
HKI-1009,Stefanie Mcmillan,Nutrition,Male,26481090,Twitter,Macro-Nutrition
HKI-1010,Sandra Coleman,Lifestyle,Female,2614090,YouTube,Macro-Lifestyle
HKI-1011,Ashley Hamilton,Fitness,Male,1906888,Twitter,Macro-Fitness
HKI-1012,Joseph Miller,Wellness,Male,2530820,Twitter,Macro-Wellness
HKI-1013,Christopher Clayton,Fitness,Female,23446094,Twitter,Macro-Fitness
HKI-1014,William Phillips,Nutrition,Male,6532298,Twitter,Macro-Nutrition
HKI-1015,Tara Wise,Lifestyle,Male,197591,Twitter,Mid-Tier-Lifestyle
HKI-1016,Deanna Gonzales,Wellness,Male,33143256,Twitter,Macro-Wellness
HKI-1017,Kristi Nixon,Lifestyle,Male,5337537,Instagram,Macro-Lifestyle
HKI-1018,Ronald Wallace,Nutrition,Female,2428660,Instagram,Macro-Nutrition
HKI-1019,Jonathan Cunningham,Lifestyle,Female,2957757,Twitter,Macro-Lifestyle
HKI-1020,Frank Allen,Fitness,Male,347530,Instagram,Mid-Tier-Fitness
HKI-1021,Joseph Cruz,Lifestyle,Female,10384929,YouTube,Macro-Lifestyle
HKI-1022,Mary Murray,Wellness,Male,1107177,Instagram,Macro-Wellness
HKI-1023,Tammy Lee,Lifestyle,Female,4877127,YouTube,Macro-Lifestyle
HKI-1024,Patricia Krueger,Nutrition,Male,5380652,YouTube,Macro-Nutrition
HKI-1025,Alicia Page,Lifestyle,Male,10938293,Twitter,Macro-Lifestyle
HKI-1026,Janet Patterson,Fitness,Male,19517819,Twitter,Macro-Fitness
HKI-1027,Angela Stanley,Lifestyle,Male,1359425,Twitter,Macro-Lifestyle
HKI-1028,Jessica Davis,Lifestyle,Male,3946426,Instagram,Macro-Lifestyle
HKI-1029,Jennifer Moore,Lifestyle,Male,1940251,Twitter,Macro-Lifestyle
HKI-1030,Blake Acosta,Nutrition,Female,7326111,YouTube,Macro-Nutrition
HKI-1031,Taylor Lopez,Lifestyle,Female,761771,Instagram,Macro-Lifestyle
HKI-1032,Gary Taylor,Nutrition,Female,45452949,YouTube,Macro-Nutrition
HKI-1033,Jennifer Summers,Lifestyle,Female,3059711,Twitter,Macro-Lifestyle
HKI-1034,Chad Thomas,Wellness,Male,941002,Twitter,Macro-Wellness
HKI-1035,Mr. Daniel Sanchez,Wellness,Female,1176266,YouTube,Macro-Wellness
HKI-1036,Jonathan Vargas,Wellness,Male,924654,YouTube,Macro-Wellness
HKI-1037,Benjamin Wright,Nutrition,Female,719736,Instagram,Macro-Nutrition
HKI-1038,Bruce Wells,Fitness,Male,12785525,YouTube,Macro-Fitness
HKI-1039,Tammy Hinton,Fitness,Female,1331679,YouTube,Macro-Fitness
HKI-1040,Ryan Huff,Nutrition,Female,3314408,YouTube,Macro-Nutrition
HKI-1041,Tasha Patel,Wellness,Male,760691,Instagram,Macro-Wellness
HKI-1042,Eric Allen,Wellness,Female,1581854,Instagram,Macro-Wellness
HKI-1043,Jason Maddox,Nutrition,Female,254174,YouTube,Mid-Tier-Nutrition
HKI-1044,Alicia Velazquez,Nutrition,Female,208069,Twitter,Mid-Tier-Nutrition
HKI-1045,Ryan Cardenas,Wellness,Male,437242,YouTube,Mid-Tier-Wellness
HKI-1046,Preston Wood,Lifestyle,Female,6506784,Twitter,Macro-Lifestyle
HKI-1047,Norman Washington,Nutrition,Female,4097658,Twitter,Macro-Nutrition
HKI-1048,David Molina PhD,Fitness,Male,565984,Twitter,Macro-Fitness
HKI-1049,Melinda Mccann,Lifestyle,Female,5211979,Twitter,Macro-Lifestyle
HKI-1050,Todd Roberts,Lifestyle,Female,1183414,Instagram,Macro-Lifestyle
